candidate,text,tweet_id
Trump,"Congratulations to @JudgeJeanine on the release of her new book, “DON’T LIE TO ME” which is now available. Get your… https://t.co/vRF33jLWrs",1308537177903521792
Trump,Fake News!,1307668705464156161
Trump,Thank you IDAHO! #MAGA https://t.co/lsFRvHcyyY,1304911450540892161
Trump,"Our Great 1st Amendment, our Great 2nd Amendment, our right to worship God &amp; so much more comes down to one vote on… https://t.co/ZqD7kYgRkK",1310950121329356802
Trump,Thank you so much! https://t.co/UL6P5lRjZI,1312713748398866432
Biden,"Receiving the Medal of Freedom from my friend @BarackObama was a great, great honor. I'm proud to have dedicated my… https://t.co/lbUazDNc5q",1312755603215773697
Trump,"I was thrilled to be back in my home state of FLORIDA with thousands of loyal, hardworking American Patriots in Jac… https://t.co/SyW7SuBZEv",1309301256968523777
Trump,"THANK YOU FLORIDA! #MAGA 
https://t.co/gsFSghkmdM https://t.co/jwksiCOm1H",1309318790082187267
Trump,"Just landed in Florida. WOW, what a crowd, MASSIVE! Going to win FLORIDA BIG!! Live on @FoxNews, @OANN, and @cspan! #MAGA",1309269556511162369
Trump,THANK YOU! #MAGA https://t.co/h2NXX3baSB,1308118140858109953
Trump,A three year HOAX. A failed COUP!,1309617799850004480
Trump,https://t.co/0Bm9W2u1x7,1312864232711520257
Trump,"Join me in Reno, Nevada on Wednesday at 3:30pm at the Reno-Sparks Convention Center! #MAGA
Tickets:… https://t.co/G0NvFLQWgS",783149570721144832
Trump,The Jets just don't have it. Time for a quarterback change!,518882635972890625
Biden,It’s time we build an economy where everyone gets a fair return for their work and an equal chance to get ahead. An… https://t.co/uokY2UzZBz,1312883193939279872
Trump,https://t.co/S72PSSLwtk,1310288411417292800
Trump,FAKE NEWS IS THE ENEMY OF THE PEOPLE!,1290253369404092417
Trump,https://t.co/WMOXjAY8AY,1311124746747015168
Biden,All aboard! Tune in as @DrBiden and I kick off our train tour through Ohio and Pennsylvania. https://t.co/z2m4tpAHNJ,1311305227123871744
Trump,https://t.co/4LMKipzdWO,1305356032353263616
